Age;Gender;Education Level;Job Title;Years of Experience;Salary
27;1;0;2;3;80000
30;1;0;2;5;100000
27;1;0;2;3;80000
25;1;0;2;2;90249
26;1;0;2;3;75072
50;1;0;2;23;175966
52;1;0;2;25;168287
27;1;0;2;4;82683
34;1;0;2;10;94502
25;1;0;2;2;90249
26;1;0;2;3;75072
50;1;0;2;23;175966
52;1;0;2;25;168287
27;1;0;2;4;82683
34;1;0;2;10;94502
34;1;0;2;10;126593
31;1;0;2;8;100052
28;1;0;2;4;71699
38;1;0;2;12;131960
24;1;0;2;2;63901
35;1;0;2;10;123386
27;1;0;2;4;68732
49;1;0;2;24;178284
34;1;0;2;10;126520
31;1;0;2;8;100679
28;1;0;2;4;72389
38;1;0;2;12;132442
24;1;0;2;2;64182
38;1;0;2;14;136449
24;1;0;2;1;55935
38;1;0;2;14;136449
24;1;0;2;1;55935
34;1;0;2;10;126520
31;1;0;2;8;100679
28;1;0;2;4;72389
38;1;0;2;12;132442
24;1;0;2;2;64182
38;1;0;2;14;136449
24;1;0;2;1;55935
38;1;0;2;14;136449
24;1;0;2;1;55935
34;1;0;2;10;126520
31;1;0;2;8;100679
28;1;0;2;4;72389
38;1;0;2;12;132442
24;1;0;2;2;64182
42;1;0;2;16;137489
42;1;0;2;18;150901
26;1;0;2;2;63789
28;1;1;2;7;95845
28;1;1;2;7;95845
27;1;1;2;4;79767
27;1;1;2;3;68611
27;1;1;2;4;80247
27;1;1;2;4;80247
27;1;1;2;4;80247
34;1;2;2;6;125000
33;1;2;2;6;130000
32;1;2;2;6;130000
33;1;2;2;6;130000
32;1;2;2;6;130000
33;1;2;2;6;130000
32;1;2;2;6;130000
32;1;2;2;6;130000
32;1;2;2;6;130000
32;1;2;2;6;130000
32;1;2;2;6;130000
36;1;2;2;8;140000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
36;1;2;2;9;150000
35;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
32;1;2;2;7;120000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
32;1;2;2;7;120000
34;1;2;2;8;140000
34;1;2;2;8;140000
34;1;2;2;8;140000
24;1;2;2;0;55538
24;1;2;2;0;55538
31;1;2;2;8;111535
27;1;2;2;5;87584
31;2;1;2;8;104127
31;2;1;2;8;104127
34;0;2;3;5;80000
33;1;0;3;7;75000
30;0;0;4;3;55000
43;0;0;4;12;120000
41;0;0;4;11;110000
32;0;0;4;7;90000
32;0;0;4;7;90000
33;0;0;4;7;90000
33;0;0;4;7;90000
33;0;0;4;7;90000
33;0;0;4;7;90000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
31;0;2;4;8;120000
29;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
27;0;2;4;4;80000
33;0;2;4;6;75000
50;0;2;4;15;150000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;18;180000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
50;0;2;4;19;190000
51;0;2;4;19;190000
51;0;2;4;19;190000
51;0;2;4;19;190000
51;0;2;4;19;190000
44;1;0;4;11;110000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
43;1;0;4;14;140000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
41;1;0;4;12;120000
44;1;0;4;15;150000
42;1;0;4;13;130000
42;1;0;4;13;130000
42;1;0;4;13;130000
33;1;2;4;5;70000
32;1;2;4;5;70000
46;1;2;4;16;160000
43;1;2;4;16;160000
42;1;3;4;15;150000
43;1;3;4;16;160000
28;0;0;5;2;40000
42;0;2;6;14;120000
51;0;0;7;22;130000
38;1;0;7;11;80000
31;0;0;8;5;45000
29;0;1;8;3;35000
25;0;1;8;1;30000
25;0;1;8;1;30000
25;0;1;8;1;30000
25;0;1;8;1;30000
26;0;0;9;1;40000
27;0;0;10;2;110000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
30;0;0;10;5;145000
26;0;0;10;3;130000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
26;0;0;10;3;130000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
26;0;0;10;3;130000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
26;0;0;10;3;130000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
25;0;0;10;2;110000
26;0;0;10;3;120000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
25;0;0;10;2;100000
27;0;0;10;5;120000
26;0;0;10;3;100000
29;0;0;10;7;130000
25;0;0;10;2;90000
29;0;0;10;6;120000
26;0;0;10;3;100000
27;0;0;10;5;125000
29;0;0;10;7;130000
25;0;0;10;2;90000
29;0;0;10;6;120000
26;0;0;10;3;100000
27;0;0;10;5;125000
29;0;0;10;7;130000
25;0;0;10;2;90000
29;0;0;10;6;120000
26;0;0;10;3;100000
27;0;0;10;5;125000
29;0;0;10;7;130000
25;0;0;10;2;90000
29;0;0;10;6;120000
26;0;0;10;3;100000
27;0;0;10;5;125000
29;0;0;10;7;130000
25;0;0;10;2;90000
37;0;0;10;11;150000
28;0;2;10;3;65000
41;0;2;10;13;80000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
25;0;2;10;1;100000
29;0;2;10;6;150000
33;0;2;10;7;95000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
33;0;2;10;8;100000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
33;0;2;10;6;90000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
35;0;2;10;9;120000
27;1;0;10;2;110000
27;1;0;10;2;110000
27;1;0;10;2;110000
27;1;0;10;2;110000
26;1;0;10;3;130000
24;1;0;10;1;90000
25;1;0;10;2;110000
23;1;0;10;1;95000
26;1;0;10;3;130000
24;1;0;10;1;90000
25;1;0;10;2;110000
31;1;0;10;9;195000
30;1;0;10;5;160000
24;1;0;10;1;90000
26;1;0;10;3;130000
25;1;0;10;2;110000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
25;1;0;10;2;125000
24;1;0;10;1;95000
26;1;0;10;3;130000
23;1;0;10;1;90000
26;1;0;10;3;135000
24;1;0;10;1;90000
25;1;0;10;2;115000
31;1;0;10;9;195000
30;1;0;10;5;160000
24;1;0;10;1;90000
26;1;0;10;3;130000
25;1;0;10;2;110000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
23;1;0;10;1;90000
25;1;0;10;2;110000
26;1;0;10;3;130000
23;1;0;10;1;92000
26;1;0;10;3;135000
24;1;0;10;1;95000
25;1;0;10;2;115000
31;1;0;10;9;195000
30;1;0;10;5;160000
24;1;0;10;1;90000
26;1;0;10;3;130000
25;1;0;10;2;110000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
25;1;0;10;3;135000
30;1;0;10;5;160000
24;1;0;10;1;95000
26;1;0;10;3;130000
31;1;0;10;9;195000
24;1;0;10;1;90000
25;1;0;10;2;115000
26;1;0;10;3;130000
30;1;0;10;5;160000
24;1;0;10;1;92000
26;1;0;10;3;130000
25;1;0;10;2;110000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
31;1;0;10;9;195000
26;1;0;10;3;130000
24;1;0;10;1;90000
30;1;0;10;5;140000
24;1;0;10;2;100000
26;1;0;10;3;120000
31;1;0;10;9;190000
24;1;0;10;2;95000
25;1;0;10;2;100000
26;1;0;10;3;120000
30;1;0;10;5;140000
24;1;0;10;2;95000
26;1;0;10;3;120000
25;1;0;10;2;100000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
31;1;0;10;9;190000
26;1;0;10;3;120000
24;1;0;10;2;95000
29;1;0;10;7;130000
26;1;0;10;3;110000
29;1;0;10;7;130000
26;1;0;10;3;110000
29;1;0;10;7;130000
26;1;0;10;3;110000
29;1;0;10;7;130000
26;1;0;10;3;110000
29;1;0;10;7;130000
26;1;0;10;3;110000
32;1;0;10;5;135000
36;1;0;10;9;162000
33;1;0;10;7;142000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
37;1;0;10;11;160000
33;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
33;1;2;10;8;120000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
34;1;2;10;8;100000
25;0;0;11;0;35000
32;0;0;12;9;185000
32;0;0;12;9;185000
32;0;0;12;9;185000
32;0;0;12;9;185000
32;0;0;12;9;185000
29;0;2;12;6;180000
31;0;2;12;9;195000
31;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
28;0;2;12;6;175000
31;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
27;0;2;12;4;150000
31;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
31;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;180000
29;0;2;12;6;150000
31;0;2;12;6;170000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
29;0;2;12;6;150000
28;0;2;12;6;150000
28;0;2;12;6;155000
28;0;2;12;6;150000
28;0;2;12;6;155000
28;0;2;12;6;150000
28;0;2;12;6;155000
28;0;2;12;6;150000
28;0;2;12;6;155000
28;0;2;12;6;150000
28;0;2;12;6;155000
27;0;2;12;3;180000
29;0;2;12;4;182000
37;0;2;12;11;160000
34;0;2;12;9;140000
36;0;2;12;8;130000
35;0;2;12;10;145000
30;0;3;12;5;180000
30;0;3;12;5;180000
30;0;3;12;5;180000
30;0;3;12;5;180000
30;0;3;12;7;185000
32;0;3;12;10;193000
30;0;3;12;7;185000
31;0;3;12;9;195000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
32;0;3;12;10;193000
30;0;3;12;7;185000
31;0;3;12;9;195000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;6;170000
32;0;3;12;9;195000
30;0;3;12;7;185000
31;0;3;12;9;195000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;185000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
30;0;3;12;7;170000
45;0;3;12;19;193000
44;0;3;12;18;183000
44;0;3;12;18;183000
44;0;3;12;18;183000
44;0;3;12;18;183000
44;0;3;12;18;183000
44;0;3;12;18;183000
44;0;3;12;18;183000
29;0;3;12;5;100000
29;0;3;12;5;100000
29;0;3;12;5;100000
29;0;3;12;5;100000
29;0;3;12;5;100000
28;0;3;12;5;100000
28;0;3;12;5;100000
28;0;3;12;5;100000
28;0;3;12;5;100000
28;0;3;12;5;100000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
30;0;3;12;6;100000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
31;0;3;12;8;140000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;0;3;12;9;145000
32;1;0;12;8;180000
32;1;0;12;8;180000
38;1;0;12;10;150000
29;1;2;12;3;75000
31;1;2;12;6;160000
31;1;2;12;9;195000
31;1;2;12;7;180000
33;1;2;12;10;195000
31;1;2;12;9;185000
33;1;2;12;10;195000
31;1;2;12;9;185000
33;1;2;12;10;195000
31;1;2;12;9;185000
33;1;2;12;10;195000
31;1;2;12;9;185000
33;1;2;12;10;195000
31;1;2;12;9;185000
43;1;2;12;15;198000
31;1;2;12;6;175000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
31;1;2;12;7;130000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
34;1;2;12;9;140000
30;1;3;12;5;180000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
27;1;3;12;2;115000
33;1;3;12;8;190000
27;1;3;12;2;115000
30;1;3;12;7;185000
30;1;3;12;7;185000
30;1;3;12;7;185000
30;1;3;12;7;185000
30;1;3;12;7;170000
41;1;3;12;15;190000
43;1;3;12;15;150000
42;1;3;12;12;130000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
42;1;3;12;13;140000
45;1;3;12;18;180000
44;1;3;12;16;160000
44;1;3;12;15;150000
41;1;3;12;12;130000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
41;1;3;12;13;140000
46;1;3;12;18;180000
43;1;3;12;16;160000
45;1;3;12;16;160000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
42;1;3;12;14;140000
47;1;3;12;19;190000
44;1;3;12;15;150000
38;1;3;12;12;130000
40;1;3;12;15;150000
49;1;3;12;22;220000
43;1;3;12;16;160000
40;1;3;12;15;150000
49;1;3;12;22;220000
43;1;3;12;16;160000
40;1;3;12;15;150000
49;1;3;12;22;220000
43;1;3;12;16;160000
40;1;3;12;15;150000
49;1;3;12;22;220000
43;1;3;12;16;160000
40;1;3;12;15;150000
49;1;3;12;22;220000
43;1;3;12;16;160000
40;1;3;12;15;150000
49;1;3;12;22;220000
43;1;3;12;16;160000
40;1;3;12;15;150000
49;1;3;12;22;220000
